Date,GORH,GPRH,GPTH,LPRH,OPRH,OPT,WCTH,WIRH,WITH,WPRH,WPTH
36959.62955,184.0000458,1404558.375,609120704,8454.525391,7633.467773,3310438.75,0.097114518,14141.51953,3295790.25,821.0570679,253060.0313
36960.35715,184.0000458,1404558.375,610142656,8454.525391,7633.467773,3315992.75,0.097114518,14141.51953,3306079.5,821.0570679,253657.4375
36961.49402,184.0000458,1404558.375,611739456,8454.525391,7633.467773,3324671,0.097114518,14141.51953,3322156.5,821.0570679,254590.875
36961.67163,184.0000458,1404558.375,611988928,8454.525391,7633.467773,3326027,0.097114518,14141.51953,3324668.5,821.0570679,254736.7188
36961.89368,184.0000458,1404558.375,612300800,8454.525391,7633.467773,3327722,0.097114518,14141.51953,3327808.5,821.0570679,254919.0313
36962.24063,184.0000458,1404558.375,612788160,8454.525391,7633.467773,3330370.25,0.097114518,14141.51953,3332715,821.0570679,255203.8906
36962.78275,184.0000458,1404558.375,613549568,8454.525391,7633.467773,3334508.5,0.097114518,14141.51953,3340381,821.0570679,255648.9844
36963.62976,184.0000458,1404558.375,614739264,8454.525391,7633.467773,3340974.25,0.097114518,14141.51953,3352359.5,821.0570679,256344.4531
36964.95325,184.0000458,1404558.375,616598144,8454.525391,7633.467773,3351077,0.097114518,14141.51953,3371075.5,821.0570679,257431.1094
36965.16006,184.0000458,1404558.375,616888640,8454.525391,7633.467773,3352655.5,0.097114518,14141.51953,3374000,821.0570679,257600.9063
36965.41855,184.0000458,1404558.375,617251712,8454.525391,7633.467773,3354628.75,0.097114518,14141.51953,3377655.5,821.0570679,257813.1406
36965.82245,184.0000458,1404558.375,617819008,8454.525391,7633.467773,3357712,0.097114518,14141.51953,3383367.25,821.0570679,258144.7656
36966.45352,184.0000458,1404558.375,618705408,8454.525391,7633.467773,3362529.25,0.097114518,14141.51953,3392291.75,821.0570679,258662.9219
36967.43961,184.0000458,1404558.375,620090368,8454.525391,7633.467773,3370056.5,0.097114518,14141.51953,3406236.25,821.0570679,259472.5469
36967.59369,184.0000458,1404558.375,620306816,8454.525391,7633.467773,3371232.75,0.097114518,14141.51953,3408415.25,821.0570679,259599.0469
36967.78629,184.0000458,1404558.375,620577344,8454.525391,7633.467773,3372702.75,0.097114518,14141.51953,3411138.75,821.0570679,259757.1719
36968.08719,184.0000458,1404558.375,621000000,8454.525391,7633.467773,3375000,0.097114518,14141.51953,3415394.25,821.0570679,260004.25
36968.5574,184.0000458,1404558.375,621660416,8454.525391,7633.467773,3378589.25,0.097114518,14141.51953,3422043.5,821.0570679,260390.3125
36969.29208,184.0000458,1404558.375,622692288,8454.525391,7633.467773,3384197.25,0.097114518,14141.51953,3432433.25,821.0570679,260993.5313
36969.40689,184.0000458,1404558.375,622853568,8454.525391,7633.467773,3385073.5,0.097114518,14141.51953,3434056.5,821.0570679,261087.7813
36969.55038,184.0000458,1404558.375,623055104,8454.525391,7633.467773,3386169,0.097114518,14141.51953,3436085.75,821.0570679,261205.6094
36969.77457,184.0000458,1404558.375,623369984,8454.525391,7633.467773,3387880.5,0.097114518,14141.51953,3439256.25,821.0570679,261389.6875
36970.12491,184.0000458,1404558.375,623862080,8454.525391,7633.467773,3390554.75,0.097114518,14141.51953,3444210.5,821.0570679,261677.3281
36970.67227,184.0000458,1404558.375,624630912,8454.525391,7633.467773,3394733,0.097114518,14141.51953,3451951.25,821.0570679,262126.7656
36971.52756,184.0000458,1404558.375,625832192,8454.525391,7633.467773,3401261.75,0.097114518,14141.51953,3464046.25,821.0570679,262829
36971.66119,184.0000458,1404558.375,626019904,8454.525391,7633.467773,3402282,0.097114518,14141.51953,3465936.25,821.0570679,262938.7188
36971.82825,184.0000458,1404558.375,626254528,8454.525391,7633.467773,3403557.25,0.097114518,14141.51953,3468298.5,821.0570679,263075.875
36972.08926,184.0000458,1404558.375,626621120,8454.525391,7633.467773,3405549.5,0.097114518,14141.51953,3471989.5,821.0570679,263290.1875
36972.4971,184.0000458,1404558.375,627193920,8454.525391,7633.467773,3408662.75,0.097114518,14141.51953,3477757,821.0570679,263625.0313
36973.13434,184.0000458,1404558.375,628088960,8454.525391,7633.467773,3413527,0.097114518,14141.51953,3486768.5,821.0570679,264148.25
36974.13,184.0000458,1404558.375,629487488,8454.525391,7633.467773,3421127.5,0.097114518,14141.51953,3500849,821.0570679,264965.75
36975.68576,184.0000458,1404558.375,631672640,8454.525391,7633.467773,3433003.25,0.097114518,14141.51953,3522849.75,821.0570679,266243.125
36975.92886,184.0000458,1404558.375,632014080,8454.525391,7633.467773,3434859,0.097114518,14141.51953,3526287.25,821.0570679,266442.7188
36976.23273,184.0000458,1404558.375,632440832,8454.525391,7633.467773,3437178.5,0.097114518,14141.51953,3530584.25,821.0570679,266692.1875
36976.70749,184.0000458,1404558.375,633107712,8454.525391,7633.467773,3440802.75,0.097114518,14141.51953,3537298.25,821.0570679,267082
36977.44934,184.0000458,1404558.375,634149632,8454.525391,7633.467773,3446465.5,0.097114518,14141.51953,3547789,821.0570679,267691.0938
36977.56525,184.0000458,1404558.375,634312448,8454.525391,7633.467773,3447350.25,0.097114518,14141.51953,3549428.25,821.0570679,267786.2813
36977.71014,184.0000458,1404558.375,634515968,8454.525391,7633.467773,3448456.25,0.097114518,14141.51953,3551477.25,821.0570679,267905.25
36977.93652,184.0000458,1404558.375,634833920,8454.525391,7633.467773,3450184.5,0.097114518,14141.51953,3554678.75,821.0570679,268091.125
36978.29028,184.0000458,1404558.375,635330816,8454.525391,7633.467773,3452884.75,0.097114518,14141.51953,3559681.25,821.0570679,268381.5625
36978.84299,184.0000458,1404558.375,636107136,8454.525391,7633.467773,3457103.75,0.097114518,14141.51953,3567497.5,821.0570679,268835.375
36979.7066,184.0000458,1404558.375,637320128,8454.525391,7633.467773,3463696.25,0.097114518,14141.51953,3579710.25,821.0570679,269544.4375
36980.8533,184.0000458,1404558.375,638930688,8454.525391,7633.467773,3472449.5,0.097114518,14141.51953,3595926.25,821.0570679,270485.9688
36982,184.0000458,1404558.375,640541312,8454.525391,7633.467773,3481202.75,0.097114518,14141.51953,3612142.5,821.0570679,271427.4688
36983,183.9999847,1483148.25,642024448,8911.282227,8060.588867,3489263.5,0.095462508,14274.5625,3626417,850.6933594,272278.1563
36986,183.9999847,1483148.25,646473920,8911.282227,8060.588867,3513445.25,0.095462508,14274.5625,3669240.75,850.6933594,274830.2188
36991,183.9999847,1483148.25,653889664,8911.282227,8060.588867,3553748,0.095462508,14274.5625,3740613.5,850.6933594,279083.6875
36991.5,183.9999847,1483148.25,654631232,8911.282227,8060.588867,3557778.5,0.095462508,14274.5625,3747750.75,850.6933594,279509.0313
36992.125,183.9999847,1483148.25,655558208,8911.282227,8060.588867,3562816.25,0.095462508,14274.5625,3756672.25,850.6933594,280040.7188
36993.10156,183.9999847,1483148.25,657006592,8911.282227,8060.588867,3570688,0.095462508,14274.5625,3770612.25,850.6933594,280871.4688
36994.62744,183.9999847,1483148.25,659269696,8911.282227,8060.588867,3582987.5,0.095462508,14274.5625,3792393.5,850.6933594,282169.5313
36997.01163,183.9999847,1483148.25,662805760,8911.282227,8060.588867,3602205.25,0.095462508,14274.5625,3826426.75,850.6933594,284197.75
37000.73691,183.9999847,1483148.25,668330944,8911.282227,8060.588867,3632233.5,0.095462508,14274.5625,3879603.75,850.6933594,287366.8438
37005.73691,183.9999847,1483148.25,675746688,8911.282227,8060.588867,3672536.25,0.095462508,14274.5625,3950976.5,850.6933594,291620.3125
37008.86847,183.9999847,1483148.25,680391232,8911.282227,8060.588867,3697778.5,0.095462508,14274.5625,3995677.75,850.6933594,294284.2813
37012,183.9999847,1483148.25,685035776,8911.282227,8060.588867,3723020.5,0.095462508,14274.5625,4040379.25,850.6933594,296948.25
37013,184,1502908,686538688,9045.514648,8167.978027,3731188.5,0.097013466,14254.70313,4054634,877.5367432,297825.7813
37016,184,1502908,691047424,9045.514648,8167.978027,3755692.5,0.097013466,14254.70313,4097398,877.5367432,300458.4063
37021,184,1502908,698561920,9045.514648,8167.978027,3796532.25,0.097013466,14254.70313,4168671.5,877.5367432,304846.0938
37026,184,1502908,706076480,9045.514648,8167.978027,3837372.25,0.097013466,14254.70313,4239945,877.5367432,309233.7813
37026.5,184,1502908,706827904,9045.514648,8167.978027,3841456.25,0.097013466,14254.70313,4247072.5,877.5367432,309672.5313
37027.125,184,1502908,707767232,9045.514648,8167.978027,3846561.25,0.097013466,14254.70313,4255981.5,877.5367432,310221
37028.10156,184,1502908,709234944,9045.514648,8167.978027,3854537.75,0.097013466,14254.70313,4269902,877.5367432,311077.9688
