OPR,OPRH,GPR,GPRH,WCT,WCTH,OPT,OPTH,GPT,GPTH,WPT,WPTH,Date,BHP,GOR,PI,Temperature
1738.911255,1925.38501,1154732.625,354270.9063,0.141563028,0.17028591,2062306.75,602715.8125,377691712,110899712,351557.2188,49640.28125,278,226.3982086,184.0000305,146.8535461,412.9465
1739.320679,1925.38501,1155473.75,354270.9063,0.140959829,0.17028591,2093466.875,612342.75,383469056,112671064,356670.2813,51616.05859,283,227.1026611,184.0000305,148.0184784,412.928
1739.489502,1925.38501,1156152.75,354270.9063,0.14042148,0.17028591,2124635.25,621969.6875,389249824,114442424,361761.9375,53591.83594,288,227.7215271,184.0000305,149.1143188,412.9095
1739.50061,1925.38501,1156790.375,354270.9063,0.139933392,0.17028591,2155810,631596.625,395033792,116213776,366834.125,55567.61328,293,228.2871704,184.0000305,150.1993713,412.891
1739.523193,1925.38501,1156855.5,354270.9063,0.139769971,0.17028591,2186991,641223.5,400818048,117985128,371900.4063,57543.38672,298,228.7608643,184.0000305,150.58815,412.8725
1739.650513,1925.38501,1156349.875,354270.9063,0.139954343,0.17028591,2208820.75,647962.375,404865280,119225080,375452.75,58926.42969,301.5,229.0144806,184.0000305,150.1380005,412.854
1739.442139,1925.38501,1155909.25,354270.9063,0.140145347,0.17028591,2230652.25,654701.1875,408910976,120465024,379011,60309.47656,305,229.239624,184.0000305,149.7455292,412.8355
1692.388428,1843.719971,1115186.5,339244.5,0.140879154,0.18939583,2236669.75,656544.9375,410026144,120804272,379997.7188,60740.25781,306,229.8174286,184.0000153,149.9060974,412.817
1691.584839,1843.719971,1114902.25,339244.5,0.141095847,0.18939583,2254720,662076.125,413370848,121822008,382962.9375,62032.59766,309,230.1555328,184.0000153,149.9059753,412.7985
1690.574097,1843.719971,1114570.625,339244.5,0.141324744,0.18939583,2284802.25,671294.6875,418943712,123518224,387914,64186.50391,314,230.5847473,184.0000153,149.8567963,412.78
1689.46106,1843.719971,1114277.75,339244.5,0.141557917,0.18939583,2314881,680513.3125,424515104,125214448,392874.0313,66340.40625,319,230.9612427,184.0000153,149.868515,412.7615
1688.244019,1843.719971,1114000.5,339244.5,0.14181219,0.18939583,2344955.5,689731.875,430085088,126910672,397843.7188,68494.3125,324,231.3021851,184.0000153,149.9562073,412.743
1686.901978,1843.719971,1113715.375,339244.5,0.142107576,0.18939583,2375023.5,698950.5,435653696,128606896,402824.4375,70648.21875,329,231.6193848,184.0000153,150.1252136,412.7245
1686.065552,1843.719971,1113532.25,339244.5,0.142307684,0.18939583,2393061.75,704481.6875,438994272,129624632,405817.3125,71940.5625,332,231.800827,184.0000153,150.2527008,412.706
1685.035767,1843.719971,1113309.75,339244.5,0.142559156,0.18939583,2411096.5,710012.8125,442334208,130642360,408815.7813,73232.90625,335,231.9761963,184.0000153,150.4119568,412.6875
1647.475952,1769.734985,1081796.75,325631.1875,0.143175453,0.210984975,2416937,711782.5625,443416000,130967992,409791.7188,73706.14063,336,232.4451904,183.9999695,150.6858673,412.669
1646.10144,1769.734985,1081588.625,325631.1875,0.143492356,0.210984975,2434453,717091.75,446660768,131944888,412726.2188,75125.83594,339,232.7351532,183.9999695,151.0944672,412.6505
1644.406494,1769.734985,1081249,325631.1875,0.143963769,0.210984975,2463634.25,725940.4375,452067008,133573040,417633.75,77492,344,233.1065063,183.9999695,151.7034912,412.632
